iter	Passed	Remaining
1340	28554	56619
1341	28577	56601
1342	28608	56598
1343	28633	56585
1344	28657	56568
1345	28680	56550
1346	28702	56531
1347	28723	56509
1348	28745	56489
1349	28768	56470
1350	28788	56448
1351	28817	56441
1352	28847	56437
1353	28872	56423
1354	28899	56412
1355	28927	56403
1356	28956	56397
1357	28983	56387
1358	29010	56377
1359	29034	56361
1360	29063	56354
1361	29087	56337
1362	29113	56326
1363	29136	56306
1364	29160	56291
1365	29186	56279
1366	29216	56273
1367	29248	56273
1368	29276	56264
1369	29295	56239
1370	29327	56238
1371	29359	56236
1372	29386	56225
1373	29411	56211
1374	29437	56198
1375	29464	56187
1376	29487	56170
1377	29512	56154
1378	29534	56135
1379	29557	56116
1380	29580	56097
1381	29596	56065
1382	29620	56049
1383	29641	56028
1384	29659	56000
1385	29683	55983
1386	29709	55970
1387	29730	55947
1388	29755	55932
1389	29776	55911
1390	29800	55894
1391	29829	55888
1392	29862	55888
1393	29890	55878
1394	29912	55857
1395	29934	55838
1396	29961	55826
1397	29991	55821
1398	30019	55811
1399	30047	55802
1400	30067	55778
1401	30094	55767
1402	30127	55766
1403	30165	55776
1404	30201	55782
1405	30223	55761
1406	30250	55748
1407	30270	55724
1408	30291	55703
1409	30316	55687
1410	30343	55676
1411	30372	55669
1412	30393	55645
1413	30424	55642
1414	30456	55639
1415	30495	55649
1416	30514	55624
1417	30541	55612
1418	30566	55596
1419	30586	55573
1420	30610	55554
1421	30633	55536
1422	30658	55521
1423	30682	55503
1424	30703	55482
1425	30738	55483
1426	30775	55490
1427	30804	55482
1428	30835	55478
1429	30864	55469
1430	30887	55450
1431	30914	55438
1432	30942	55428
1433	30965	55409
1434	30986	55387
1435	31013	55374
1436	31037	55358
1437	31062	55343
1438	31100	55349
1439	31127	55338
1440	31157	55330
1441	31183	55316
1442	31200	55287
1443	31220	55263
1444	31242	55241
1445	31278	55245
1446	31303	55230
1447	31331	55219
1448	31365	55219
1449	31401	55223
1450	31428	55211
1451	31461	55209
1452	31491	55202
1453	31524	55200
1454	31553	55192
1455	31578	55176
1456	31608	55168
1457	31627	55142
1458	31653	55128
1459	31683	55120
1460	31707	55102
1461	31738	55097
1462	31760	55076
1463	31785	55060
1464	31809	55042
1465	31829	55018
1466	31857	55006
1467	31881	54988
1468	31904	54969
1469	31933	54959
1470	31973	54970
1471	31995	54948
1472	32017	54927
1473	32037	54902
1474	32061	54884
1475	32080	54859
1476	32107	54846
1477	32133	54830
1478	32152	54804
1479	32177	54789
1480	32198	54766
1481	32215	54735
1482	32237	54714
1483	32263	54700
1484	32284	54677
1485	32309	54661
1486	32330	54638
1487	32353	54618
1488	32373	54592
1489	32394	54571
1490	32416	54549
1491	32436	54524
1492	32453	54494
1493	32474	54472
1494	32497	54452
1495	32517	54427
1496	32533	54396
1497	32555	54375
1498	32577	54354
1499	32596	54327
1500	32616	54303
1501	32637	54280
1502	32660	54260
1503	32678	54232
1504	32702	54213
1505	32727	54197
1506	32749	54176
1507	32770	54153
1508	32790	54129
1509	32813	54109
1510	32834	54086
1511	32857	54066
1512	32880	54047
1513	32905	54030
1514	32927	54009
1515	32950	53990
1516	32974	53972
1517	32996	53951
1518	33020	53932
1519	33039	53906
1520	33059	53881
1521	33077	53854
1522	33100	53834
1523	33122	53812
1524	33144	53791
1525	33168	53774
1526	33191	53754
1527	33212	53730
1528	33234	53709
1529	33255	53687
1530	33276	53664
1531	33302	53648
1532	33325	53629
1533	33348	53609
1534	33368	53585
1535	33390	53563
1536	33416	53548
1537	33432	53518
1538	33455	53498
1539	33481	53483
1540	33507	53467
1541	33528	53446
1542	33550	53424
1543	33571	53400
1544	33592	53378
1545	33619	53364
1546	33642	53344
1547	33667	53329
1548	33689	53306
1549	33710	53284
1550	33733	53264
1551	33753	53240
1552	33775	53218
1553	33799	53201
1554	33821	53179
1555	33844	53158
1556	33869	53142
1557	33891	53122
1558	33913	53099
1559	33935	53077
1560	33957	53057
1561	33978	53034
1562	34001	53015
1563	34026	52997
1564	34045	52972
1565	34068	52952
1566	34090	52929
1567	34107	52901
1568	34129	52880
1569	34148	52854
1570	34169	52831
1571	34191	52809
1572	34211	52785
1573	34230	52759
1574	34253	52738
1575	34276	52719
1576	34298	52697
1577	34320	52676
1578	34338	52649
1579	34360	52627
1580	34383	52608
1581	34405	52586
1582	34427	52565
1583	34451	52547
1584	34476	52530
1585	34497	52507
1586	34522	52491
1587	34546	52472
1588	34568	52450
1589	34589	52427
1590	34615	52412
1591	34640	52395
1592	34658	52367
1593	34679	52346
1594	34706	52332
1595	34729	52312
1596	34746	52282
1597	34767	52260
1598	34787	52236
1599	34812	52218
1600	34828	52189
1601	34853	52171
1602	34877	52153
1603	34894	52123
1604	34919	52106
1605	34944	52090
1606	34964	52065
1607	34981	52036
1608	35004	52016
1609	35026	51996
1610	35049	51976
1611	35071	51953
1612	35094	51934
1613	35115	51911
1614	35137	51890
1615	35163	51874
1616	35184	51851
1617	35203	51825
1618	35225	51804
1619	35247	51783
1620	35272	51766
1621	35295	51746
1622	35319	51728
1623	35339	51703
1624	35363	51684
1625	35387	51665
1626	35410	51646
1627	35433	51627
1628	35461	51613
1629	35482	51591
1630	35503	51567
1631	35526	51547
1632	35546	51523
1633	35568	51502
1634	35590	51481
1635	35612	51459
1636	35638	51443
1637	35659	51421
1638	35682	51401
1639	35702	51377
1640	35726	51358
1641	35748	51336
1642	35769	51313
1643	35793	51295
1644	35821	51282
1645	35845	51264
1646	35870	51246
1647	35890	51222
1648	35910	51198
1649	35933	51178
1650	35951	51150
1651	35972	51128
1652	35993	51105
1653	36013	51081
1654	36033	51057
1655	36052	51030
1656	36076	51012
1657	36099	50991
1658	36119	50967
1659	36139	50943
1660	36158	50918
1661	36179	50895
1662	36199	50870
1663	36224	50854
1664	36249	50836
1665	36269	50811
